	"salary"	"age"	"elevel"	"car"	"zipcode"	"credit"	"predictedBrand"
"101"	69474.53053	69	4	17	4	387894.2142	"Acer"
"102"	29272.23437	48	1	15	2	436948.4525	"Sony"
"103"	64788.44873	79	4	5	1	77918.10245	"Acer"
"104"	135639.8791	27	4	19	6	19186.17634	"Sony"
"105"	105017.6357	78	0	8	0	60901.15443	"Sony"
"106"	30651.27828	70	3	4	6	274973.3405	"Acer"
"107"	124914.8927	20	3	14	0	422490.7151	"Sony"
"108"	51554.6034	43	1	6	8	403873.2068	"Sony"
"109"	41756.58586	30	0	9	8	261237.0119	"Sony"
"110"	40777.17765	24	3	18	2	389602.4913	"Sony"
"111"	22852.18355	20	3	19	3	471134.0016	"Sony"
"112"	46972.72177	58	4	1	3	202696.6148	"Sony"
"113"	81360.09472	57	2	1	5	464026.0106	"Acer"
"114"	118399.6735	52	3	2	2	349837.5019	"Acer"
"115"	97797.99614	51	1	17	0	322701.6857	"Acer"
"116"	34013.2303	37	4	2	7	35509.86716	"Sony"
"117"	39825.37599	67	0	8	4	449697.2514	"Acer"
"118"	42887.81182	68	0	8	5	311664.9223	"Acer"
"119"	136958.0552	62	3	1	2	471262.0422	"Sony"
"120"	73966.94405	28	1	4	6	427243.0564	"Acer"
"121"	58996.45533	43	2	9	4	327786.8183	"Sony"
"122"	147256.2284	54	0	7	1	494074.745	"Sony"
"123"	137604.4732	80	2	17	1	129093.431	"Sony"
"124"	67246.29728	70	1	7	4	241223.8674	"Acer"
"125"	111248.5351	53	1	18	4	464879.9246	"Acer"
"126"	138762.6193	27	3	18	7	270868.1454	"Sony"
"127"	130104.2157	57	0	3	0	0	"Sony"
"128"	66419.40224	70	1	1	6	430196.5454	"Acer"
"129"	105905.1717	78	1	14	4	221805.0272	"Sony"
"130"	66718.68592	22	3	3	0	359392.595	"Acer"
"131"	105371.3765	28	0	17	3	118819.0244	"Sony"
"132"	150000	20	3	8	1	52783.80121	"Sony"
"133"	78824.04664	70	1	13	6	36615.60833	"Sony"
"134"	104203.6653	20	0	5	4	472282.7269	"Sony"
"135"	81031.0909	20	3	7	8	281226.6043	"Acer"
"136"	35394.28221	26	1	18	4	461495.7806	"Sony"
"137"	93010.35031	44	4	14	8	500000	"Acer"
"138"	89977.24698	29	2	13	7	119006.3796	"Acer"
"139"	71357.38975	62	0	18	3	413141.1401	"Acer"
"140"	86564.44796	33	2	9	5	477016.951	"Acer"
"141"	141029.8191	22	2	10	8	166924.9082	"Sony"
"142"	104962.6416	45	4	10	1	344391.502	"Acer"
"143"	91708.12335	50	3	11	8	446718.263	"Acer"
"144"	79017.63427	24	1	11	1	182439.1782	"Acer"
"145"	126987.4355	77	3	10	8	276517.6124	"Sony"
"146"	50959.11776	69	2	11	4	158345.5348	"Acer"
"147"	97361.54119	52	2	2	1	472890.1963	"Acer"
"148"	57871.06916	27	4	18	5	40516.26375	"Acer"
"149"	114719.9929	35	2	1	6	371147.6246	"Sony"
"150"	127173.5961	33	2	5	7	278513.526	"Sony"
"151"	22550.37379	78	3	20	2	358223.8561	"Sony"
"152"	41046.87118	46	2	13	3	261612.2675	"Sony"
"153"	124898.0764	41	4	10	8	425863.757	"Sony"
"154"	126582.4113	54	1	8	8	230828.1126	"Sony"
"155"	102972.1702	51	0	7	2	157549.9681	"Acer"
"156"	28104.2676	79	0	8	3	212529.6273	"Acer"
"157"	91758.28955	55	0	5	4	95280.30363	"Acer"
"158"	64470.53502	72	0	4	5	72924.56732	"Acer"
"159"	70008.3427	44	4	17	2	369048.2027	"Sony"
"160"	43081.31822	41	1	6	5	191982.4034	"Sony"
"161"	81168.48296	34	4	10	3	35099.85573	"Acer"
"162"	37764.29766	25	1	8	2	284129.4257	"Sony"
"163"	150000	23	4	18	3	500000	"Sony"
"164"	30760.74623	78	3	4	1	224080.096	"Acer"
"165"	115765.8595	71	4	20	6	394825.6264	"Sony"
"166"	50168.50762	34	2	18	4	187646.3446	"Acer"
"167"	108117.3094	44	2	9	5	304615.6456	"Acer"
"168"	117407.261	23	1	5	0	302195.4793	"Sony"
"169"	47941.2591	24	0	3	7	83615.7243	"Sony"
"170"	98186.30577	76	3	8	1	199271.624	"Sony"
"171"	123561.0308	48	2	19	8	76055.51482	"Acer"
"172"	85061.24877	32	1	12	6	474664.1651	"Acer"
"173"	42224.98333	60	1	5	1	166459.6241	"Sony"
"174"	118559.7817	72	3	3	2	287256.5499	"Sony"
"175"	120060.6862	21	1	17	2	241135.1946	"Sony"
"176"	62275.60136	49	2	17	8	428596.1819	"Sony"
"177"	48687.53178	41	2	2	8	201617.3953	"Sony"
"178"	124449.2735	76	1	1	5	124080.9386	"Sony"
"179"	102587.4285	20	1	20	6	291874.2933	"Sony"
"180"	37922.35501	44	2	10	0	411478.2194	"Sony"
"181"	20000	69	2	14	2	203408.6924	"Sony"
"182"	20863.03794	53	4	3	0	91408.7083	"Sony"
"183"	97753.98263	48	1	18	1	228509.3055	"Acer"
"184"	76230.20993	70	2	18	0	239003.9728	"Acer"
"185"	61490.09424	69	1	19	7	122582.229	"Acer"
"186"	71638.6117	26	1	7	6	173247.3789	"Acer"
"187"	119640.7793	33	2	20	3	331233.6448	"Sony"
"188"	85002.33367	62	4	7	8	79004.52057	"Sony"
"189"	126499.072	78	4	10	4	477178.6408	"Sony"
"190"	78407.74455	23	2	15	3	198359.2028	"Acer"
"191"	78825.20872	41	2	7	4	276219.7638	"Acer"
"192"	84333.9113	69	3	17	1	227553.5108	"Sony"
"193"	141174.4209	71	3	3	5	248924.0085	"Sony"
"194"	36326.11199	57	2	5	4	416774.0346	"Sony"
"195"	57481.24511	80	2	20	7	87090.63941	"Acer"
"196"	76974.37959	70	0	17	5	235786.548	"Sony"
"197"	122464.6149	35	4	4	7	474694.3411	"Sony"
"198"	115800.1138	30	4	13	0	462889.3802	"Sony"
"199"	43973.41539	49	4	9	3	436988.9052	"Sony"
"200"	138893.0818	51	4	4	8	247379.1391	"Sony"
"201"	136962.606	74	1	1	8	420048.2066	"Sony"
"202"	116528.7053	76	0	12	5	167440.0038	"Sony"
"203"	130833.0008	23	2	16	5	29638.03906	"Sony"
"204"	103581.5907	77	0	18	6	450230.0564	"Sony"
"205"	77603.71927	71	0	3	7	41068.79664	"Sony"
"206"	25721.72544	24	2	10	4	141667.1945	"Sony"
"207"	125982.6712	53	1	2	3	251534.6838	"Sony"
"208"	102942.1021	30	3	9	7	418543.0306	"Sony"
"209"	122105.3795	33	4	18	6	308658.6156	"Sony"
"210"	146777.3863	24	1	14	4	282599.7609	"Sony"
"211"	141049.4866	39	4	5	6	27116.55534	"Sony"
"212"	126448.6574	61	0	11	5	500000	"Sony"
"213"	58090.26917	62	0	1	8	217997.9872	"Acer"
"214"	74253.30416	67	1	18	8	50630.05515	"Acer"
"215"	137550.1396	42	2	4	2	277726.9151	"Sony"
"216"	70768.34809	36	0	11	4	249317.2793	"Acer"
"217"	114737.6349	40	3	14	7	284935.9197	"Sony"
"218"	94961.68156	36	1	20	0	56898.47698	"Acer"
"219"	40597.46719	20	0	7	5	307315.7656	"Sony"
"220"	76354.84474	26	0	5	3	339813.8804	"Acer"
"221"	105552.4818	61	0	1	7	445405.4449	"Sony"
"222"	91168.86289	75	0	1	6	318103.1376	"Sony"
"223"	80282.98752	68	1	20	7	396729.7297	"Sony"
"224"	98032.43651	32	1	10	5	407000.2727	"Sony"
"225"	57356.59966	73	4	19	2	228469.5188	"Acer"
"226"	45072.35215	77	0	15	4	90572.80287	"Acer"
"227"	32004.33705	54	0	13	0	78329.76304	"Sony"
"228"	31247.7923	33	3	5	0	262716.466	"Sony"
"229"	123414.4505	51	0	15	2	126588.8678	"Acer"
"230"	102491.2198	60	2	1	1	431329.0163	"Acer"
"231"	129922.4595	47	2	13	5	465367.285	"Sony"
"232"	84956.02521	40	0	2	3	19313.86366	"Acer"
"233"	142684.7682	67	4	15	4	389508.657	"Sony"
"234"	88022.64951	33	4	20	1	67203.58854	"Acer"
"235"	79307.38421	41	3	3	8	298115.4446	"Acer"
"236"	131026.4874	78	3	2	1	264037.6079	"Sony"
"237"	98947.96129	42	3	15	7	47600.89116	"Acer"
"238"	114155.581	69	3	20	4	76642.88812	"Sony"
"239"	90816.37715	49	1	17	0	168983.5016	"Acer"
"240"	39974.65829	38	1	1	3	411599.372	"Sony"
"241"	92748.35104	23	2	13	6	376689.6652	"Acer"
"242"	52381.55815	71	2	19	2	53691.27441	"Acer"
"243"	109696.8907	33	2	19	1	306930.8132	"Sony"
"244"	150000	71	0	20	6	198375.7234	"Sony"
"245"	47817.84173	77	4	6	8	295701.6721	"Acer"
"246"	129804.126	39	2	19	4	430324.8617	"Sony"
"247"	90560.66979	77	0	19	6	469039.022	"Sony"
"248"	60790.38134	55	0	7	4	417998.7835	"Sony"
"249"	51937.83307	50	3	11	7	180286.3702	"Sony"
"250"	75127.15274	58	1	6	4	239634.2341	"Sony"
"251"	35163.88797	79	0	15	3	134335.7574	"Acer"
"252"	71603.97299	52	2	12	1	116490.9076	"Sony"
"253"	125684.3106	71	4	2	7	75617.26886	"Sony"
"254"	59632.25172	33	2	13	2	252940.2811	"Acer"
"255"	142513.9	41	0	18	7	98291.30237	"Sony"
"256"	104773.2122	46	3	12	0	334005.1613	"Acer"
"257"	125359.1955	27	1	18	2	472226.632	"Sony"
"258"	102822.3753	66	4	5	7	262757.0305	"Sony"
"259"	142989.9354	43	2	19	4	375447.0364	"Sony"
"260"	109304.7165	61	1	3	8	88362.85209	"Sony"
"261"	139245.1188	37	2	5	1	42994.18849	"Sony"
"262"	48816.16877	54	0	19	2	344485.8304	"Sony"
"263"	125267.5285	36	2	18	0	50457.25686	"Sony"
"264"	148913.4369	30	1	19	4	366874.0631	"Sony"
"265"	114830.9249	72	0	20	7	183800.4905	"Sony"
"266"	123235.8102	60	1	20	6	500000	"Sony"
"267"	89350.37006	40	4	20	5	32435.88793	"Acer"
"268"	142993.2327	36	1	11	1	140425.802	"Sony"
"269"	114758.762	68	2	14	8	404982.1119	"Sony"
"270"	22229.85426	29	4	12	2	437096.8629	"Sony"
"271"	141199.8067	51	3	9	2	74644.38473	"Sony"
"272"	60916.15423	51	0	4	4	29687.24726	"Sony"
"273"	130713.5948	40	3	12	2	56376.68577	"Sony"
"274"	129002.9207	63	3	6	2	425581.4366	"Sony"
"275"	60510.33735	70	1	19	3	442853.1873	"Acer"
"276"	58602.99107	29	4	11	0	206282.9013	"Acer"
"277"	52205.66794	34	4	14	7	274402.4457	"Acer"
"278"	81450.61739	58	2	1	6	131665.4479	"Acer"
"279"	72199.17821	31	4	14	5	302651.4867	"Acer"
"280"	127786.606	46	2	16	1	0	"Sony"
"281"	37564.26825	72	1	11	7	407501.0746	"Acer"
"282"	104200.8434	64	0	6	2	196894.3018	"Sony"
"283"	80030.00439	22	4	15	8	390769.0935	"Acer"
"284"	115322.3206	31	1	10	8	241098.2754	"Sony"
"285"	71814.84043	67	3	8	4	32092.45823	"Acer"
"286"	86877.1143	63	3	5	6	378365.476	"Sony"
"287"	27146.33944	49	3	20	2	8953.972124	"Sony"
"288"	63284.71451	36	1	15	8	337130.4733	"Acer"
"289"	100933.2663	71	3	20	6	278940.4201	"Sony"
"290"	143926.3711	28	3	20	5	89790.06468	"Sony"
"291"	79139.62098	80	4	2	1	13717.50551	"Sony"
"292"	90277.42898	80	4	11	8	140418.7736	"Sony"
"293"	54118.4336	76	3	3	6	466775.872	"Acer"
"294"	97893.25638	61	0	10	1	474945.8107	"Sony"
"295"	82815.5434	41	0	11	4	500000	"Acer"
"296"	148296.65	22	1	17	7	264466.0172	"Sony"
"297"	63049.17146	69	0	12	3	385233.5505	"Acer"
"298"	51783.31546	80	3	12	7	468442.5132	"Acer"
"299"	37925.72851	77	2	17	0	242963.7613	"Acer"
"300"	116008.0933	34	0	12	7	160955.336	"Sony"
"301"	35620.2353	70	2	19	8	26058.18459	"Acer"
"302"	62533.03539	64	3	7	3	287363.1168	"Acer"
"303"	130105.7506	24	1	20	6	450609.6355	"Sony"
"304"	29749.4862	78	4	15	7	257292.2451	"Acer"
"305"	97669.10737	67	0	3	0	206482.5332	"Sony"
"306"	93344.43409	23	4	16	3	12468.53599	"Acer"
"307"	25493.9877	36	0	1	5	257244.3148	"Sony"
"308"	40552.57176	55	1	15	2	151100.7491	"Sony"
"309"	77614.4625	51	3	14	6	0	"Acer"
"310"	133205.7254	23	0	17	1	156677.8004	"Sony"
"311"	68348.53865	64	3	10	0	417646.9735	"Acer"
"312"	70906.75242	56	4	11	5	0	"Sony"
"313"	77233.76907	73	0	18	7	477469.4867	"Sony"
"314"	67657.81084	58	1	14	2	45059.43665	"Sony"
"315"	143060.6818	30	3	18	7	391695.9481	"Sony"
"316"	147937.0685	41	2	11	7	42354.73178	"Sony"
"317"	129463.5122	80	3	14	6	405806.2747	"Sony"
"318"	52949.16278	63	0	7	0	442363.2162	"Acer"
"319"	78120.11486	54	3	8	3	152523.8094	"Acer"
"320"	111189.0398	33	1	7	4	149039.6527	"Sony"
"321"	136275.5045	54	3	14	1	34808.2013	"Sony"
"322"	40437.22038	56	1	18	0	162254.9757	"Sony"
"323"	63527.70821	41	3	15	0	425826.2839	"Sony"
"324"	21126.13814	61	0	20	7	112727.118	"Sony"
"325"	132454.5989	37	2	4	0	22796.54745	"Sony"
"326"	26937.44371	40	1	17	5	297295.8256	"Sony"
"327"	90811.12599	42	4	9	3	86454.34059	"Acer"
"328"	107455.3649	51	0	16	8	308047.2318	"Acer"
"329"	124808.5224	76	0	11	2	323022.621	"Sony"
"330"	37479.99886	20	4	4	1	410739.6896	"Sony"
"331"	73611.10412	68	3	1	2	312588.5565	"Acer"
"332"	50395.58178	28	4	8	0	379625.8939	"Acer"
"333"	71970.32457	27	3	10	6	463247.4867	"Acer"
"334"	73119.92519	44	4	18	0	38814.7038	"Sony"
"335"	49351.13734	32	2	10	0	300902.5315	"Acer"
"336"	52372.29479	43	1	7	4	349856.8397	"Sony"
"337"	40892.45979	42	1	6	5	188957.3414	"Sony"
"338"	139023.1273	20	4	5	5	104680.5184	"Sony"
"339"	140931.9435	45	3	15	6	49061.59666	"Sony"
"340"	52566.45174	71	4	5	5	314481.0554	"Acer"
"341"	90992.62484	27	1	10	1	138893.8055	"Acer"
"342"	106641.084	50	0	17	5	66591.92741	"Acer"
"343"	111128.1033	76	4	11	6	86871.40729	"Sony"
"344"	138388.6703	65	2	19	4	199243.198	"Sony"
"345"	66258.00373	50	0	12	0	289579.9395	"Sony"
"346"	25086.2967	29	4	15	5	407093.8974	"Sony"
"347"	42325.29866	67	4	5	7	300351.994	"Acer"
"348"	91888.84731	58	4	7	8	75704.44308	"Acer"
"349"	21221.29813	23	2	13	1	344746.368	"Sony"
"350"	48452.2581	47	0	10	8	387229.9544	"Sony"
"351"	83137.80268	68	1	14	7	398524.0977	"Sony"
"352"	84452.19118	27	3	11	5	214214.5143	"Acer"
"353"	63484.93507	40	0	11	6	32672.45639	"Acer"
"354"	74139.13223	26	1	3	8	255001.1812	"Acer"
"355"	99523.88097	55	4	13	6	178723.1268	"Acer"
"356"	150000	36	4	14	1	135584.4804	"Sony"
"357"	40847.99492	71	2	1	1	90449.37911	"Acer"
"358"	61079.17841	40	1	18	5	195585.406	"Acer"
"359"	143519.587	56	2	2	3	185572.3519	"Sony"
"360"	99417.73531	32	2	2	8	33880.24129	"Sony"
"361"	81297.5268	68	1	17	4	472520.8553	"Sony"
"362"	32539.90664	67	4	9	3	26613.75339	"Acer"
"363"	49540.82342	58	4	4	5	209548.4002	"Sony"
"364"	138810.1479	64	4	14	6	266488.6727	"Sony"
"365"	142843.9572	63	3	14	4	198330.4117	"Sony"
"366"	142242.1431	43	0	15	3	195496.6787	"Sony"
"367"	75817.74194	61	4	5	8	41420.26181	"Acer"
"368"	132840.1649	42	2	10	0	485443.2794	"Sony"
"369"	57030.03863	23	4	12	3	237213.6995	"Acer"
"370"	66329.12629	36	3	17	6	369720.6585	"Acer"
"371"	55914.38172	45	3	8	4	200552.0922	"Sony"
"372"	52402.77066	38	4	15	8	83066.52285	"Acer"
"373"	137306.4566	43	1	7	1	302713.6834	"Sony"
"374"	101307.9145	25	2	17	2	333542.2485	"Sony"
"375"	61728.08564	56	1	5	8	468419.0861	"Sony"
"376"	76623.2976	26	1	20	1	276471.1771	"Acer"
"377"	146859.2794	46	4	1	7	333101.9542	"Sony"
"378"	73955.16249	36	0	9	0	443255.8299	"Acer"
"379"	108750.2014	61	4	3	1	172115.0093	"Sony"
"380"	76794.29133	64	3	15	1	75723.48162	"Sony"
"381"	78098.32868	22	4	9	5	54507.58813	"Acer"
"382"	118284.2705	68	4	11	8	283326.8882	"Sony"
"383"	62286.45225	47	2	16	8	75653.36494	"Sony"
"384"	22220.17408	54	4	3	5	450939.1686	"Sony"
"385"	109549.431	56	2	17	8	462089.7915	"Acer"
"386"	140697.3089	69	0	20	5	255337.255	"Sony"
"387"	46990.10958	73	3	4	6	149942.844	"Acer"
"388"	78483.73035	65	3	11	5	343226.2001	"Sony"
"389"	43891.56968	77	4	10	6	161369.8533	"Acer"
"390"	29482.81868	57	1	14	0	221367.0628	"Sony"
"391"	150000	65	1	20	8	83166.3364	"Sony"
"392"	150000	24	4	5	8	134339.3949	"Sony"
"393"	76320.6989	57	0	16	1	79991.18209	"Acer"
"394"	37866.48004	32	3	6	8	479665.9554	"Sony"
"395"	136064.627	32	2	18	3	106617.9865	"Sony"
"396"	150000	47	2	5	3	178552.4317	"Sony"
"397"	37035.58845	64	0	2	4	430163.3555	"Acer"
"398"	105028.0305	39	0	9	6	500000	"Acer"
"399"	109770.4385	47	3	11	8	333436.7546	"Acer"
"400"	44066.05921	60	4	10	2	181206.0711	"Sony"
"401"	139330.2229	73	3	6	8	104040.5731	"Sony"
"402"	103153.9899	79	0	1	4	204798.2576	"Sony"
"403"	58690.88241	57	2	3	2	321606.6016	"Sony"
"404"	30332.45658	67	4	14	6	475564.424	"Acer"
"405"	90678.14951	43	2	16	6	319219.4426	"Acer"
"406"	109644.3965	24	3	14	8	358954.8191	"Sony"
"407"	69005.20497	49	1	3	5	18423.79355	"Sony"
"408"	103922.428	23	4	9	5	405893.2985	"Sony"
"409"	106671.5149	58	3	15	0	235590.7938	"Acer"
"410"	80362.47045	38	4	10	3	407341.3584	"Acer"
"411"	136687.0725	44	4	15	5	330432.877	"Sony"
"412"	72444.86473	60	3	18	5	489115.117	"Acer"
"413"	132842.7175	36	1	15	1	482720.4272	"Sony"
"414"	116281.6741	25	1	17	5	177293.9883	"Sony"
"415"	68680.19767	48	3	1	3	307693.5944	"Sony"
"416"	141803.7458	66	3	8	4	450088.3403	"Sony"
"417"	65642.38258	54	4	8	8	453676.0102	"Sony"
"418"	130499.2342	21	4	10	8	433286.9154	"Sony"
"419"	140336.9426	38	1	13	0	400679.8107	"Sony"
"420"	72328.47527	72	1	7	4	47160.61824	"Acer"
"421"	134957.3552	74	0	17	0	118131.322	"Sony"
"422"	143027.8673	53	2	1	2	100554.3806	"Sony"
"423"	36400.71601	59	0	6	7	65093.18022	"Sony"
"424"	26031.11306	56	1	12	0	338602.4266	"Sony"
"425"	86207.88163	47	4	12	4	296202.7906	"Acer"
"426"	117156.7887	75	3	9	5	300950.424	"Sony"
"427"	76727.48056	39	1	19	6	371292.15	"Acer"
"428"	31258.9147	42	0	11	1	329506.3017	"Sony"
"429"	57249.62632	54	3	14	3	456410.2828	"Sony"
"430"	92028.47682	61	0	15	3	465383.8523	"Sony"
"431"	108852.6071	20	4	5	7	372467.6351	"Sony"
"432"	47066.89583	57	2	12	4	287239.766	"Sony"
"433"	140087.1515	27	3	2	2	408892.538	"Sony"
"434"	98730.46177	24	2	15	6	235430.1087	"Sony"
"435"	132970.1554	24	4	14	5	305754.0925	"Sony"
"436"	28475.6638	73	4	13	8	442056.7281	"Acer"
"437"	65863.8693	59	1	9	1	90928.10954	"Sony"
"438"	99123.218	52	2	18	7	460830.3093	"Acer"
"439"	134388.9117	23	3	14	8	162968.6109	"Sony"
"440"	38376.14866	75	4	2	8	337329.5399	"Acer"
"441"	135409.7267	79	0	18	2	173684.38	"Sony"
"442"	94963.23312	54	1	14	2	291187.6177	"Acer"
"443"	44002.26174	74	0	18	7	39683.38921	"Acer"
"444"	33156.79718	73	1	6	7	63779.1544	"Acer"
"445"	42245.67618	74	3	18	4	137882.413	"Acer"
"446"	54741.16061	21	1	3	1	353096.4069	"Acer"
"447"	44336.57202	21	4	3	4	437012.2897	"Sony"
"448"	130659.5981	52	1	10	7	30504.0452	"Sony"
"449"	44720.2626	53	1	16	5	370786.5517	"Sony"
"450"	80429.51797	74	0	14	7	159530.6301	"Sony"
"451"	107568.8733	45	3	19	8	439431.4756	"Acer"
"452"	94639.32144	20	3	2	6	26878.22524	"Acer"
"453"	129171.0353	57	1	7	6	339736.3049	"Sony"
"454"	58114.10186	21	0	12	7	392349.6145	"Acer"
"455"	125838.8376	47	0	7	0	444088.8338	"Sony"
"456"	93127.53473	74	4	2	1	301543.5961	"Sony"
"457"	120177.9575	70	3	6	4	23141.75661	"Sony"
"458"	97830.6173	32	2	9	3	467295.7564	"Sony"
"459"	81126.70197	27	1	6	8	212711.4926	"Acer"
"460"	46900.29866	62	1	16	4	439449.2165	"Acer"
"461"	123337.2495	72	3	15	3	129613.7401	"Sony"
"462"	116201.3074	41	4	18	8	332684.1793	"Acer"
"463"	91290.84638	47	2	14	2	135722.7905	"Acer"
"464"	32892.23415	75	2	20	6	45224.38695	"Acer"
"465"	76160.35773	56	3	10	6	257279.7543	"Acer"
"466"	124562.5583	53	0	19	5	109415.0688	"Sony"
"467"	52670.65248	79	3	12	8	275263.4629	"Acer"
"468"	65293.46058	35	0	7	3	313569.5485	"Acer"
